"Date Time, GMT+00:00",Temp,albedo,SW_down,melt_rate,SOY,DOY,qsuh_mmh,Qsuh_m3s
2017-07-21 00:00:00,1.5783020833333397,0.5876329843152083,63.6,0.3254446008236629,17366400.0,201.0,0.747803147903448,0.14540616764789266
2017-07-21 01:00:00,1.5924062500000065,0.5876329843152083,35.2,0.21606431064978426,17370000.0,201.04166666666666,0.651113378054088,0.12660537906607264
2017-07-21 02:00:00,1.5943750000000063,0.5876329843152083,18.0,0.14949124905386707,17373600.0,201.08333333333334,0.5522303866228558,0.10737813073222195
2017-07-21 03:00:00,1.5012083333333397,0.5876329843152083,7.4,0.1037446662777011,17377200.0,201.125,0.45863027197983286,0.08917810844052304
2017-07-21 04:00:00,1.3127395833333393,0.5876329843152083,4.8,0.08424297891436477,17380800.0,201.16666666666666,0.374413631050968,0.07280265048213266
2017-07-21 05:00:00,1.1305000000000058,0.5876329843152083,8.4,0.08908549955847145,17384400.0,201.20833333333334,0.3020171055064985,0.058725548292930266
2017-07-21 06:00:00,1.0096041666666724,0.5876329843152083,15.6,0.11094970751335148,17388000.0,201.25,0.24275379825379556,0.047202127438238026
2017-07-21 07:00:00,0.9108645833333392,0.5876329843152083,56.8,0.265714226181091,17391600.0,201.29166666666666,0.19686242026217232,0.038278803939866844
2017-07-21 08:00:00,0.8904375000000058,0.5876329843152083,163.0,0.6763506164322381,17395200.0,201.33333333333334,0.17065698730382647,0.033183303086855145
2017-07-21 09:00:00,1.0016770833333388,0.5876329843152083,255.6,1.040853340731575,17398800.0,201.375,0.17962425824159708,0.034926939102532764
2017-07-21 10:00:00,1.2174375000000053,0.5876329843152083,362.0,1.4640743559722098,17402400.0,201.41666666666666,0.22472806370243853,0.043697123497696375
2017-07-21 11:00:00,1.4550312500000055,0.5876329843152083,469.0,1.8907127878479733,17406000.0,201.45833333333334,0.30602347411498676,0.05950456441124742
2017-07-21 12:00:00,1.6919062500000055,0.5876329843152083,567.0,2.2824290326968035,17409600.0,201.5,0.42009721296367847,0.08168556918738192
2017-07-21 13:00:00,1.9666458333333392,0.5876329843152083,648.2,2.610917507595358,17413200.0,201.54166666666666,0.5600097505009555,0.10889078481963023
2017-07-21 14:00:00,2.235343750000005,0.5876329843152083,706.8,2.851500650348502,17416800.0,201.58333333333334,0.7163205617639026,0.13928455367631437
2017-07-21 15:00:00,2.482260416666672,0.5876329843152083,739.2,2.989436981978796,17420400.0,201.625,0.877914954528096,0.1707056856026853
2017-07-21 16:00:00,2.7077395833333395,0.5876329843152083,739.8,3.0030366902805907,17424000.0,201.66666666666666,1.0333554932856583,0.20093023480554467
2017-07-21 17:00:00,2.9481875000000066,0.5876329843152083,714.4,2.9166023374490235,17427600.0,201.70833333333334,1.1708347299337734,0.2276623085982337
2017-07-21 18:00:00,3.1296666666666733,0.5876329843152083,660.4,2.716358798620756,17431200.0,201.75,1.2811818891153834,0.24911870066132455
2017-07-21 19:00:00,3.22930208333334,0.5876329843152083,583.4,2.4228693235014376,17434800.0,201.79166666666666,1.3563353562035314,0.26373187481735333
2017-07-21 20:00:00,3.2304375000000065,0.5876329843152083,488.8,2.056232849307227,17438400.0,201.83333333333334,1.39071950829065,0.2704176821676264
2017-07-21 21:00:00,3.1163958333333404,0.5876329843152083,374.8,1.6086382719660706,17442000.0,201.875,1.3819181683461355,0.26870631051174854
2017-07-21 22:00:00,2.8916562500000063,0.5876329843152083,275.6,1.2128772980136493,17445600.0,201.91666666666666,1.3285308932836666,0.258325451471824
2017-07-21 23:00:00,2.4788333333333394,0.5876329843152083,181.0,0.8255429071527717,17449200.0,201.95833333333334,1.2374033303367067,0.2406062031210263
2017-07-22 00:00:00,1.9054270833333395,0.6014721345951617,94.6,0.44965827319926543,17452800.0,202.0,1.1160251412151891,0.2170048885696201
2017-07-22 01:00:00,1.2115416666666727,0.6014721345951617,30.0,0.17296194137749804,17456400.0,202.04166666666666,0.9716137548372836,0.18892489677391625
2017-07-22 02:00:00,0.4632916666666728,0.6014721345951617,10.2,0.06137543506834954,17460000.0,202.08333333333334,0.8154942050111487,0.15856831764105667
2017-07-22 03:00:00,-0.2891666666666606,0.6014721345951617,5.8,0.0,17463600.0,202.125,0.6635111963094829,0.12901606594906612
2017-07-22 04:00:00,-1.0147395833333273,0.6014721345951617,4.2,0.0,17467200.0,202.16666666666666,0.5254447157680759,0.10216980584379252
