UTC_DOY,UTC_SOY_1h,m3_m3s_1h_24hS,m4_m3s_1h_24hS,mF_m3s_1h_24hS
229.75,19850400,25.6717062091829,94.9039231524417,55.0483449194929
229.791666666667,19854000,25.2783787784341,93.4498586676987,54.2049251678907
229.833333333333,19857600,24.6186693259909,91.0110252427813,52.7902972039824
229.875,19861200,23.6436567456781,87.4065698847824,50.6995585368851
229.916666666667,19864800,22.3502721591088,82.6251474732709,47.9261285102687
229.958333333333,19868400,20.7812989156838,76.8249207602921,44.5617483023563
230,19872000,19.0253725925921,70.3335603703687,40.7964809259249
230.041666666667,19875600,17.2313574354813,63.701392051776,36.9495389130053
230.083333333333,19879200,15.5330193873681,57.422925700858,33.3077592081178
230.125,19882800,13.9930851644168,51.7300512980455,30.0056479433812
230.166666666667,19886400,12.6491441841169,46.7617305142022,27.1238088465888
230.208333333333,19890000,11.5136485652822,42.5639967106237,24.6889432412078
230.25,19893600,10.5739131280514,39.089954939038,22.6738500463797
230.291666666667,19897200,9.84605237912507,36.3991777846519,21.1130839160036
230.333333333333,19900800,9.37441450636461,34.6556129406359,20.1017415422145
230.375,19904400,9.17591308291839,33.9217870046857,19.6760910328233
230.416666666667,19908000,9.22544410454662,34.1048947510881,19.7823013774178
230.458333333333,19911600,9.4558859896209,34.9567991307187,20.2764424473608
230.5,19915200,9.75809957912469,36.0740312710442,20.9244849957915
230.541666666667,19918800,10.0447313728933,37.133660167823,21.5391151929315
230.583333333333,19922400,10.2784159341844,37.9975521688442,22.0402095973115
230.625,19926000,10.4299964179481,38.5579193865622,22.3652466121984
230.666666666667,19929600,10.4881860106069,38.7730363945619,22.4900237010801
230.708333333333,19933200,10.459567930056,38.6672402275585,22.4286573876664
230.75,19936800,10.368595425663,38.3309303813976,22.2335832558884
230.791666666667,19940400,10.2391133666589,37.8522572742338,21.9559323281758
230.833333333333,19944000,10.0815012932582,37.2695922974679,21.6179616569108
230.875,19947600,9.90162961976337,36.6046373724013,21.2322592870289
230.916666666667,19951200,9.70311230579116,35.8707526918845,20.8065747032701
230.958333333333,19954800,9.48730685627307,35.0729567203173,20.3438188301787
231,19958400,9.25331432145519,34.207926193649,19.8420640321032
231.041666666667,19962000,9.00557950845425,33.292092806353,19.3108413964311
231.083333333333,19965600,8.71467013643719,32.2166504317298,18.6870387040577
231.125,19969200,8.33059461075386,30.7967886634012,17.8634579945921
231.166666666667,19972800,7.82939001826617,28.9439206950038,16.7887151217313
231.208333333333,19976400,7.21312212734799,26.6656833201893,15.4672397532597
231.25,19980000,6.50988538788546,24.0659369326254,13.9592753710503
231.291666666667,19983600,5.77886898228912,21.3634938532841,12.3917425039641
231.333333333333,19987200,5.1160917919798,18.9133195242477,10.9705363293675
231.375,19990800,4.6032402006598,17.0173945859266,9.87081856766316
231.416666666667,19994400,4.28310512464714,15.8339097639697,9.18434662296364
231.458333333333,19998000,4.15958201287573,15.3772658692638,8.91947358309185
231.5,20001600,4.19767084689493,15.5180737979332,9.00114821958017
231.541666666667,20005200,4.35857452924311,16.1129072920566,9.34617715269997
231.583333333333,20008800,4.6409224389991,17.1566993996552,9.95162133303209
231.625,20012400,5.06332616551319,18.7182539949652,10.8573899579515
231.666666666667,20016000,5.61474860347309,20.7567687804748,12.0398159452942
231.708333333333,20019600,6.25450395290362,23.1218352869231,13.4116559333564
231.75,20023200,6.91225771916709,25.5534388733013,14.8220902808956
231.791666666667,20026800,7.48791850604823,27.6815587043276,16.0564910369125
231.833333333333,20030400,7.89694064409534,29.1936438474251,16.933565258293
231.875,20034000,8.09344440142172,29.9200847521515,17.3549321329033
231.916666666667,20037600,8.07310150143414,29.8448805175211,17.3113104520515
231.958333333333,20041200,7.8731351228333,29.1056388920066,16.8825186104876
232,20044800,7.57231989961345,27.993576273538,16.2374746064036
232.041666666667,20048400,7.22677915159832,26.716171011556,15.4965247791704
232.083333333333,20052000,6.82424942844078,25.228087219936,14.6333723708276
232.125,20055600,6.34525348547197,23.4573208442448,13.606251942262
232.166666666667,20059200,5.7854630460988,21.3878709834974,12.4058822847819
232.208333333333,20062800,5.15569880180395,19.0597398901563,11.0554664201166
232.25,20066400,4.48193041214601,16.5689329701329,9.61069160041745
232.291666666667,20070000,3.80888340192028,14.0807928669404,8.16746364883368
232.333333333333,20073600,3.18561157251512,11.7766631250773,6.83096959720629
232.375,20077200,2.64241286008214,9.76855005143972,5.66617790637825
232.416666666667,20080800,2.19660037099373,8.12045724996825,4.71021341111701
232.458333333333,20084400,1.852502381843,6.84838562164814,3.97235732011447
232.5,20088000,1.60146233944371,5.92033336450889,3.4340472159868
232.541666666667,20091600,1.43843058777065,5.31763276073469,3.08445502192696
232.583333333333,20095200,1.37206368000995,5.07228561229568,2.94214315531855
232.625,20098800,1.41101816934777,5.21629372116214,3.02567403354527
232.666666666667,20102400,1.54663750259801,5.71765528536397,3.31648523922354
232.708333333333,20106000,1.75295202020204,6.48036489898997,3.75888952020206
232.75,20109600,1.98667895622897,7.34441355218861,4.26007478956232
232.791666666667,20113200,2.20309278588352,8.14445860144655,4.72413522415512
232.833333333333,20116800,2.37622384960716,8.7844946408529,5.09538357182937
232.875,20120400,2.49308731762063,9.21651896745222,5.34597620650949
232.916666666667,20124000,2.55368318992388,9.44053158124437,5.47591312819544
232.958333333333,20127600,2.57099629629624,9.50453518518498,5.51303796296285
233,20131200,2.57099629629624,9.50453518518498,5.51303796296285
233.041666666667,20134800,2.57099629629624,9.50453518518498,5.51303796296285
233.083333333333,20138400,2.55368318992386,9.44053158124429,5.47591312819539
233.125,20142000,2.49308731762057,9.21651896745201,5.34597620650937
233.166666666667,20145600,2.37622384960711,8.78449464085269,5.09538357182924
233.208333333333,20149200,2.20309278588343,8.14445860144621,4.72413522415492
233.25,20152800,1.98667895622886,7.34441355218818,4.26007478956208
233.291666666667,20156400,1.75295202020193,6.48036489898955,3.75888952020182
233.333333333333,20160000,1.53653819054737,5.68031984973161,3.29482908560902
233.375,20163600,1.36340712682373,5.04028381032526,2.92358073793478
233.416666666667,20167200,1.24654365881027,4.60825948372594,2.67298810325465
233.458333333333,20170800,1.18594778650701,4.38424686993379,2.54305118156871
233.5,20174400,1.16863468013466,4.32024326599317,2.50592634680129
233.541666666667,20178000,1.18594778650704,4.38424686993387,2.54305118156875
233.583333333333,20181600,1.24654365881033,4.60825948372615,2.67298810325477
233.625,20185200,1.36340712682379,5.04028381032547,2.9235807379349
233.666666666667,20188800,1.53653819054747,5.68031984973195,3.29482908560922
233.708333333333,20192400,1.75295202020204,6.48036489898997,3.75888952020206
233.75,20196000,1.98667895622897,7.34441355218861,4.26007478956232
233.791666666667,20199600,2.20309278588352,8.14445860144655,4.72413522415512
233.833333333333,20203200,2.37622384960717,8.78449464085291,5.09538357182937
233.875,20206800,2.49308731762064,9.21651896745227,5.34597620650952
233.916666666667,20210400,2.55368318992392,9.4405315812445,5.47591312819551
233.958333333333,20214000,2.57099629629631,9.50453518518522,5.51303796296299
234,20217600,2.57099629629635,9.50453518518537,5.51303796296307
234.041666666667,20221200,2.57099629629639,9.50453518518552,5.51303796296316
234.083333333333,20224800,2.57099629629643,9.50453518518566,5.51303796296324
234.125,20228400,2.57099629629646,9.50453518518578,5.51303796296331
234.166666666667,20232000,2.57099629629648,9.50453518518585,5.51303796296335
234.208333333333,20235600,2.57099629629649,9.50453518518589,5.51303796296337
234.25,20239200,2.57099629629649,9.5045351851859,5.51303796296338
234.291666666667,20242800,2.57099629629649,9.50453518518589,5.51303796296337
234.333333333333,20246400,2.57099629629648,9.50453518518585,5.51303796296335
234.375,20250000,2.57099629629646,9.50453518518578,5.51303796296331
234.416666666667,20253600,2.57099629629643,9.50453518518566,5.51303796296324
234.458333333333,20257200,2.57099629629639,9.50453518518552,5.51303796296316
234.5,20260800,2.57099629629635,9.50453518518537,5.51303796296307
234.541666666667,20264400,2.57099629629631,9.50453518518523,5.51303796296299
234.583333333333,20268000,2.5536831899239,9.44053158124442,5.47591312819546
234.625,20271600,2.49308731762059,9.21651896745206,5.3459762065094
234.666666666667,20275200,2.37622384960711,8.7844946408527,5.09538357182925
234.708333333333,20278800,2.20309278588343,8.14445860144621,4.72413522415492
234.75,20282400,1.98667895622886,7.34441355218818,4.26007478956208
234.791666666667,20286000,1.75295202020193,6.48036489898955,3.75888952020182
234.833333333333,20289600,1.51922508417499,5.61631624579091,3.25770425084156
234.875,20293200,1.28549814814806,4.75226759259228,2.7565189814813
234.916666666667,20296800,1.05177121212113,3.88821893939364,2.25533371212104
234.958333333333,20300400,0.818044276094201,3.02417028619501,1.75414844276078
235,20304000,0.58431734006727,2.16012163299637,1.25296317340052
235.041666666667,20307600,0.367903510412719,1.36007658373843,0.788902738807723
235.083333333333,20311200,0.212085553061458,0.784044148272776,0.454779225900941
235.125,20314800,0.155817957351283,0.57603243546574,0.33412351290683
235.166666666667,20318400,0.212085553061494,0.784044148272906,0.454779225901017
235.208333333333,20322000,0.367903510412812,1.36007658373878,0.788902738807922
235.25,20325600,0.584317340067385,2.1601216329968,1.25296317340077
235.291666666667,20329200,0.818044276094316,3.02417028619543,1.75414844276103
235.333333333333,20332800,1.05177121212125,3.88821893939407,2.25533371212129
235.375,20336400,1.28549814814818,4.7522675925927,2.75651898148155
235.416666666667,20340000,1.51922508417511,5.61631624579134,3.25770425084181
235.458333333333,20343600,1.75295202020204,6.48036489898997,3.75888952020206
235.5,20347200,1.98667895622897,7.34441355218861,4.26007478956232
235.541666666667,20350800,2.20309278588352,8.14445860144655,4.72413522415512
235.583333333333,20354400,2.37622384960716,8.7844946408529,5.09538357182937
