Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
142.8229167,NaN,NaN,NaN,83.40523997,0.003581386,-5.0279984,199.9583333,575.790416
142.8333333,NaN,NaN,NaN,83.57179248,0.003564315,-5.073999999,199.9618056,574.7387677
142.84375,NaN,NaN,NaN,83.62426974,0.003420928,-5.123999359,199.9652778,573.6686866
142.8541667,NaN,NaN,NaN,83.51380476,0.003258815,-5.17799744,199.96875,573.6894312
142.8645833,NaN,NaN,NaN,83.20146925,0.003127884,-5.2279984,199.9722222,572.6037408
142.875,NaN,NaN,NaN,83.22793634,0.002873217,-5.27999776,199.9756944,571.5490714
142.8854167,NaN,NaN,NaN,83.4627635,0.002654501,-5.33799808,199.9791667,570.5042058
142.8958333,NaN,NaN,NaN,84.17683858,0.002411308,-5.402002559,199.9826389,570.4928297
142.90625,NaN,NaN,NaN,84.36521461,0.002135429,-5.482003198,199.9861111,569.432852
142.9166667,NaN,NaN,NaN,84.12679503,0.00192573,-5.57599936,199.9895833,568.3705252
142.9270833,NaN,NaN,NaN,84.37126789,0.001807145,-5.6739984,199.9930556,567.3083738
142.9375,NaN,NaN,NaN,84.65960828,0.001587063,-5.77799776,199.9965278,566.2357381
142.9479167,NaN,NaN,NaN,84.27819384,0.001328922,-5.9,200,565.1778082
