Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY,q_suh_mmh
2017-08-04 06:00:00,0.10868749999999999,0.2355841041666592,0.05235202314814649,18597600.0,215.25,1.5468425301528772
2017-08-04 07:00:00,0.24018750000000003,0.35043316666665925,0.0778740370370354,18601200.0,215.29166666666666,1.3364219589344712
2017-08-04 08:00:00,0.44524600000000003,0.5089758333333259,0.11310574074073909,18604800.0,215.33333333333334,1.2371458381911729
2017-08-04 09:00:00,0.6491040000000001,0.6366221874999924,0.14147159722222055,18608400.0,215.375,1.2603417796771164
2017-08-04 10:00:00,0.8962665000000001,0.7298029166666591,0.1621784259259242,18612000.0,215.41666666666666,1.3869546908567092
2017-08-04 11:00:00,1.1277165,0.9355943541666591,0.2079098564814798,18615600.0,215.45833333333334,1.5844127135421564
2017-08-04 12:00:00,0.505492,1.1208874166666594,0.249086092592591,18619200.0,215.5,1.8735118521009526
2017-08-04 13:00:00,1.2297165,1.2690252916666596,0.2820056203703688,18622800.0,215.54166666666666,2.2467611652675665
2017-08-04 14:00:00,1.6450705,1.3655269166666595,0.3034504259259243,18626400.0,215.58333333333334,2.6778605183151254
2017-08-04 15:00:00,1.69585,1.4694161458333257,0.3265369212962947,18630000.0,215.625,3.1289004563475333
2017-08-04 16:00:00,1.6758960000000003,1.564672416666659,0.3477049814814798,18633600.0,215.66666666666666,3.583078845758224
2017-08-04 17:00:00,1.5708960000000003,1.4830743749999924,0.32957208333333166,18637200.0,215.70833333333334,4.028956259605884
2017-08-04 18:00:00,1.4366500000000002,1.3664700624999921,0.30366001388888714,18640800.0,215.75,4.394312187317496
2017-08-04 19:00:00,1.240196,1.2156903749999919,0.27015341666666487,18644400.0,215.79166666666666,4.6403710788793475
2017-08-04 20:00:00,1.0324085000000003,1.041389624999992,0.23141991666666487,18648000.0,215.83333333333334,4.7481941694215895
2017-08-04 21:00:00,0.9349125,0.8513774166666587,0.1891949814814797,18651600.0,215.875,4.714061950660479
2017-08-04 22:00:00,0.7024750000000002,0.6602938749999918,0.1467319722222204,18655200.0,215.91666666666666,4.5446841834933185
2017-08-04 23:00:00,0.4974915,0.4943216458333252,0.10984925462962783,18658800.0,215.95833333333334,4.2565413426317535
